pca,location,count,total_country,percentage
PC0,"United Kingdom of Great Britain and Northern Ireland (the)",106,106,100.00
PC0,"Finland",101,101,100.00
PC0,"United States of America (the)",101,104,97.12
PC0,"Colombia",84,101,83.17
PC0,"Spain",107,107,100.00
PC0,"France",51,51,100.00
PC0,"Italy",155,155,100.00
PC0,"Russian Federation (the)",29,51,56.86
PC0,"Bulgaria",2,2,100.00
PC0,"Hungary",2,2,100.00
PC0,"Iceland",2,2,100.00
PC0,"Estonia",2,2,100.00
PC0,"Greece",1,4,25.00
PC0,"Czechia",1,1,100.00
PC0,"Tajikistan",1,2,50.00
PC0,"Norway",1,1,100.00
PC0,"Poland",1,1,100.00
PC0,"Albania",1,1,100.00
PC1,"Congo (the Democratic Republic of the)",13,13,100.00
PC1,"Central African Republic (the)",22,22,100.00
PC1,"Namibia",5,7,71.43
PC1,"Botswana",1,5,20.00
PC1,"South Africa",2,4,50.00
PC2,"Colombia",14,101,13.86
PC2,"Peru",87,88,98.86
PC2,"Brazil",20,20,100.00
PC2,"Argentina",1,1,100.00
PC3,"Afghanistan",18,19,94.74
PC3,"China",19,19,100.00
PC3,"Russian Federation (the)",3,51,5.88
PC3,"Nepal",2,2,100.00
PC3,"Kyrgyzstan",2,2,100.00
PC4,"Pakistan",243,264,92.05
PC4,"Sri Lanka",101,101,100.00
PC4,"India",220,220,100.00
PC4,"Tajikistan",1,2,50.00
PC5,"United States of America (the)",3,104,2.88
PC5,"Colombia",3,101,2.97
PC5,"Barbados",96,96,100.00
PC5,"Peru",1,88,1.14
PC5,"Gambia (the)",113,113,100.00
PC5,"Nigeria",229,229,100.00
PC5,"Sierra Leone",85,85,100.00
PC5,"Pakistan",1,264,0.38
PC5,"Israel",1,46,2.17
PC5,"Guinea",22,22,100.00
PC5,"Botswana",4,5,80.00
PC5,"Algeria",2,27,7.41
PC5,"Tanzania, United Republic of",11,11,100.00
PC5,"Namibia",2,7,28.57
PC5,"Kenya",104,104,100.00
PC5,"South Sudan",3,3,100.00
PC5,"South Africa",2,4,50.00
PC7,"Pakistan",20,264,7.58
PC7,"Afghanistan",1,19,5.26
PC7,"Palestine, State of",89,89,100.00
PC7,"Israel",45,46,97.83
PC7,"Algeria",25,27,92.59
PC7,"Russian Federation (the)",19,51,37.25
PC7,"Georgia",4,4,100.00
PC7,"Iran (Islamic Republic of)",2,2,100.00
PC7,"Somalia",1,1,100.00
PC7,"Jordan",3,3,100.00
PC7,"Azerbaijan",1,1,100.00
PC7,"Greece",3,4,75.00
PC7,"Turkey",3,3,100.00
PC7,"Iraq",2,2,100.00
PC7,"Yemen",2,2,100.00
PC7,"Morocco",2,2,100.00
