pca,location,count,total_country,percentage
PC0,"United Kingdom of Great Britain and Northern Ireland (the)",14,106,13.21
PC0,"Finland",101,101,100.00
PC0,"Russian Federation (the)",28,51,54.90
PC0,"Hungary",2,2,100.00
PC0,"Iceland",2,2,100.00
PC0,"Estonia",2,2,100.00
PC0,"Czechia",1,1,100.00
PC0,"Tajikistan",2,2,100.00
PC0,"Norway",1,1,100.00
PC0,"Poland",1,1,100.00
PC1,"Congo (the Democratic Republic of the)",13,13,100.00
PC1,"Central African Republic (the)",22,22,100.00
PC1,"Namibia",5,7,71.43
PC1,"Botswana",1,5,20.00
PC1,"South Africa",2,4,50.00
PC2,"United States of America (the)",3,104,2.88
PC2,"Barbados",96,96,100.00
PC2,"Peru",1,88,1.14
PC2,"Gambia (the)",113,113,100.00
PC2,"Nigeria",229,229,100.00
PC2,"Sierra Leone",85,85,100.00
PC2,"Pakistan",1,264,0.38
PC2,"Israel",1,46,2.17
PC2,"Guinea",22,22,100.00
PC2,"Botswana",4,5,80.00
PC2,"Algeria",2,27,7.41
PC2,"Tanzania, United Republic of",11,11,100.00
PC2,"Namibia",2,7,28.57
PC2,"Kenya",104,104,100.00
PC2,"South Sudan",3,3,100.00
PC2,"South Africa",2,4,50.00
PC4,"Colombia",11,101,10.89
PC4,"Peru",85,88,96.59
PC4,"Brazil",20,20,100.00
PC4,"Argentina",1,1,100.00
PC6,"Pakistan",223,264,84.47
PC6,"Sri Lanka",101,101,100.00
PC6,"India",220,220,100.00
PC7,"United Kingdom of Great Britain and Northern Ireland (the)",92,106,86.79
PC7,"United States of America (the)",101,104,97.12
PC7,"Colombia",90,101,89.11
PC7,"Spain",107,107,100.00
PC7,"Peru",2,88,2.27
PC7,"France",51,51,100.00
PC7,"Italy",155,155,100.00
PC7,"Bulgaria",2,2,100.00
PC7,"Greece",1,4,25.00
PC7,"Albania",1,1,100.00
PC8,"Afghanistan",18,19,94.74
PC8,"China",19,19,100.00
PC8,"Russian Federation (the)",3,51,5.88
PC8,"Nepal",2,2,100.00
PC8,"Kyrgyzstan",2,2,100.00
PC9,"Pakistan",40,264,15.15
PC9,"Afghanistan",1,19,5.26
PC9,"Palestine, State of",89,89,100.00
PC9,"Israel",45,46,97.83
PC9,"Algeria",25,27,92.59
PC9,"Russian Federation (the)",20,51,39.22
PC9,"Georgia",4,4,100.00
PC9,"Iran (Islamic Republic of)",2,2,100.00
PC9,"Somalia",1,1,100.00
PC9,"Jordan",3,3,100.00
PC9,"Azerbaijan",1,1,100.00
PC9,"Greece",3,4,75.00
PC9,"Turkey",3,3,100.00
PC9,"Iraq",2,2,100.00
PC9,"Yemen",2,2,100.00
PC9,"Morocco",2,2,100.00
