Sample	Population code	Population	Superpopulation code	Superpopulation	Source	Latitude	Longitude	Region	Sample Alias	Country	Town	Single_Ancestry
HG01862	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG01863	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG01864	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG01865	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG01866	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG01867	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG01868	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG01869	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG01870	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG01871	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG01872	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG01873	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG01874	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG01878	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG01879	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG01880	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG01882	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG01883	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG01885	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG01886	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG01889	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG01890	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG01892	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01893	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01894	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG01896	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG01912	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG01914	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG01915	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG01917	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG01918	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01920	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG01921	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01923	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG01924	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01926	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG01927	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG01932	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01933	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01935	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01936	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01938	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG01939	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01941	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01942	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01944	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01945	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01947	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01948	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01950	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG01951	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG01953	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG01954	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG01956	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG01958	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG01961	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG01965	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01967	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01968	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG01970	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01971	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01973	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01974	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG01976	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01977	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01979	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01980	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01982	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01985	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG01986	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG01988	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG01989	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG01990	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG01991	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG01992	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG01997	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG02002	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG02003	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG02006	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG02008	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG02009	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02010	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02012	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02013	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02014	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02016	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02017	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02019	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02020	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02023	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02025	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02026	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02028	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02029	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02031	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02032	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02035	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02040	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02047	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02048	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02049	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02050	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02051	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02052	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02053	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02054	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02057	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02058	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02060	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02061	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02064	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02067	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02069	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02070	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02072	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02073	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02075	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02076	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02078	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02079	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02081	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02082	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02084	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02085	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02086	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02087	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02088	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02089	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG02090	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG02095	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02102	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG02104	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG02105	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG02107	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02108	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02111	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02113	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02116	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02121	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02122	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02127	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02128	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02130	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02131	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02133	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02134	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02136	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02137	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02138	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02139	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02140	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02141	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02142	KHV	Kinh Vietnamese	EAS	East Asian	1kG	10.8	106.65	"Ho Chi Minh City, Vietnam"				1
HG02143	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02144	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02146	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG02147	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG02150	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG02151	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02152	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02153	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02154	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02155	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02156	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02164	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02165	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02166	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02178	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02179	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02180	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02181	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02182	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02184	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02185	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02186	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02187	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02188	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02190	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02215	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG02219	IBS	Spanish	EUR	European	1kG	40.24448698	-3.64755047					1
HG02220	IBS	Spanish	EUR	European	1kG	40.24448698	-3.64755047					1
HG02221	IBS	Spanish	EUR	European	1kG	40.24448698	-3.64755047					1
HG02223	IBS	Spanish	EUR	European	1kG	40.24448698	-3.64755047					1
HG02224	IBS	Spanish	EUR	European	1kG	40.24448698	-3.64755047					1
HG02230	IBS	Spanish	EUR	European	1kG	40.24448698	-3.64755047					1
HG02231	IBS	Spanish	EUR	European	1kG	40.24448698	-3.64755047					1
HG02232	IBS	Spanish	EUR	European	1kG	40.24448698	-3.64755047					1
HG02233	IBS	Spanish	EUR	European	1kG	40.24448698	-3.64755047					1
HG02235	IBS	Spanish	EUR	European	1kG	40.24448698	-3.64755047					1
HG02236	IBS	Spanish	EUR	European	1kG	40.24448698	-3.64755047					1
HG02238	IBS	Spanish	EUR	European	1kG	40.24448698	-3.64755047					1
HG02239	IBS	Spanish	EUR	European	1kG	40.24448698	-3.64755047					1
HG02250	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02252	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG02253	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG02255	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02256	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02259	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG02260	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG02262	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG02265	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG02266	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG02271	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG02272	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG02274	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG02275	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG02277	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG02278	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG02281	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02282	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02283	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02284	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02285	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG02286	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG02291	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG02292	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG02298	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG02299	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				1
HG02301	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG02304	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG02307	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02308	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02309	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02312	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG02314	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02315	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02317	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02318	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02322	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02323	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02325	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02330	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02332	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02334	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02337	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02339	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02343	ACB	African-Caribbean	AFR	African	1kG	13.18145428	-59.559797	Barbados				0
HG02345	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG02348	PEL	Peruvian	AMR	American	1kG	-12.05	-77.033333	"Lima-Callao, Peru, metropolitan area"				0
HG02351	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02353	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02355	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02356	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02360	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02364	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02367	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02371	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
HG02373	CDX	Dai Chinese	EAS	East Asian	1kG	22.000302	100.79837	"Xishuangbanna, Yunnan, China"				1
